id,product_id,created,tag,shop_id,price,price_diff
51000669,213048,2021-07-02 10:56:25,normal,199,656,4
50973956,213048,2021-07-01 13:48:25,normal,199,652,2
50935417,213048,2021-06-30 10:59:52,normal,199,650,-1
50841022,213048,2021-06-26 10:47:48,normal,199,651,-5
50811860,213048,2021-06-25 10:48:11,normal,199,656,-6
50780376,213048,2021-06-24 11:02:18,normal,199,662,4
50744828,213048,2021-06-23 10:47:55,normal,199,658,5
50681590,213048,2021-06-21 10:51:46,normal,199,653,14
50644313,213048,2021-06-19 10:40:30,normal,199,639,2
50612082,213048,2021-06-18 10:40:34,normal,199,637,-1
50574940,213048,2021-06-17 10:53:13,normal,199,638,2
50558243,213048,2021-06-16 22:43:17,normal,199,636,-23
50491030,213048,2021-06-14 10:43:55,normal,199,659,76
50453779,213048,2021-06-12 10:49:11,normal,199,583,-3
50422350,213048,2021-06-11 10:39:38,normal,199,586,-1
50384318,213048,2021-06-10 10:39:13,normal,199,587,-6
50353892,213048,2021-06-09 10:44:02,normal,199,593,3
50326338,213048,2021-06-08 11:32:45,normal,199,590,1
50257985,213048,2021-06-05 10:40:19,normal,199,589,6
50226932,213048,2021-06-04 10:39:52,normal,199,583,-8
50196816,213048,2021-06-03 10:47:44,normal,199,591,-4
50163634,213048,2021-06-02 10:51:45,normal,199,595,4
50093527,213048,2021-05-31 10:39:52,normal,199,591,1
50050360,213048,2021-05-29 10:44:09,normal,199,590,4
50013391,213048,2021-05-28 11:30:53,normal,199,586,-5
49980297,213048,2021-05-27 10:57:54,normal,199,591,2
49951559,213048,2021-05-26 10:54:56,normal,199,589,-3
49920448,213048,2021-05-25 11:06:19,normal,199,592,5
49900266,213048,2021-05-24 10:40:17,normal,199,587,3
49860719,213048,2021-05-22 10:56:01,normal,199,584,3
49826711,213048,2021-05-21 10:56:04,normal,199,581,-4
49780620,213048,2021-05-20 10:47:58,normal,199,585,-3
49743589,213048,2021-05-19 10:44:09,normal,199,588,-4
49675919,213048,2021-05-17 10:48:37,normal,199,592,10
49621013,213048,2021-05-14 10:48:16,normal,199,582,2
49600694,213048,2021-05-13 10:42:43,normal,199,580,-6
49565797,213048,2021-05-12 10:43:22,normal,199,586,-2
49505750,213048,2021-05-10 10:51:10,normal,199,588,-2
49477397,213048,2021-05-08 10:47:53,normal,199,590,2
49418011,213048,2021-05-06 10:46:46,normal,199,588,6
49390564,213048,2021-05-05 11:10:15,normal,199,582,3
