parent,title_no,internal_doc_type,image_url,description,title,title_phonetic,url,tags,path,_version_,internal_doc_id,popularity,root,alias,title_edge_ngram,id,alias_no,adult,last_modified,parents
Jakt,Viltkamera,category,/1584/1584109/original%20%283%29.76x75!m.jpg,62 produkter,Viltkamera,Viltkamera,/kategorier/viltkamera,products,Sport og friluftsliv>Jakt>Viltkamera,1717733688136957955,11340,2250,Sport og friluftsliv,,Viltkamera,11340,,false,2021-11-29T04:01:40.783Z,"Sport og friluftsliv,Jakt"
Kjøkken,Vin- og barutstyr,category,/2887/2887658/original.76x75!m.jpg,364 produkter,Vin- og barutstyr,Vin- og barutstyr,/kategorier/vin-og-barutstyr,categories,Hjem og husholdning>Kjøkken>Vin- og barutstyr,1717733688138006528,11994,2356,Hjem og husholdning,"bar,barutstyr,utstyr,utsyr,vin,vinutstyr",Vin- og barutstyr,11994,"vinutstyr,barutstyr,vin,utsyr,bar,utstyr",false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Kjøkken"
Lampe,Vinduslampe,category,/3154/3154830/nordlux-disa-pedant-amber-fonsterpendel.1024x1023m.76x75!m.jpg,1562 produkter,Vinduslampe,Vinduslampe,/kategorier/vinduslampe,filter,Hjem og husholdning>Lampe>Vinduslampe,1717733688138006529,13217,4783,Hjem og husholdning,vinduspendel,Vinduslampe,13217,vinduspendel,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Lampe"
Rengjøring,Vindusvask,category,/3131/3131238/9813628330399-3914.38x75!m.jpg,22 produkter,Vindusvask,Vindusvask,/kategorier/vindusvask,products,Hjem og husholdning>Rengjøring>Vindusvask,1717733688138006530,13055,1112,Hjem og husholdning,,Vindusvask,13055,,false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Rengjøring"
Rengjøring,Vindusvasker,category,/2968/2968950/original.74x75!m.jpg,41 produkter,Vindusvasker,Vindusvasker,/kategorier/vindusvasker,products,Hjem og husholdning>Rengjøring>Vindusvasker,1717733688139055104,11176,3252,Hjem og husholdning,"nal,naler,rengjøring,vaske,vindu,vinduspusser,vindusvask,vindusvasker",Vindusvasker,11176,"vindusvasker,vaske,vindu,vindusvask,rengjøring,vinduspusser,nal,naler",false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Rengjøring"
Byggbeslag,Vinkelbeslag,category,/3276/3276217/i.58x75!m.jpg,68 produkter,Vinkelbeslag,Vinkelbeslag,/kategorier/vinkelbeslag,filter,Bygg og verktøy>Beslag>Byggbeslag>Vinkelbeslag,1717733688139055105,13762,1022,Bygg og verktøy,,Vinkelbeslag,13762,,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Beslag,Byggbeslag"
Måling,Vinkelmåler,category,/3152/3152916/ProductImage28907772.90x75!m.jpg,17 produkter,Vinkelmåler,Vinkelmåler,/kategorier/vinkelmaaler,products,Bygg og verktøy>Verktøy>Måleverktøy og laserverktøy>Måling>Vinkelmåler,1717733688139055106,13206,1178,Bygg og verktøy,,Vinkelmåler,13206,,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy,Måleverktøy og laserverktøy,Måling"
Elektroverktøy,Vinkelsliper,category,/1116/1116807/original.118x75!m.jpg,560 produkter,Vinkelsliper,Vinkelsliper,/kategorier/vinkelsliper,products,Bygg og verktøy>Verktøy>Elektroverktøy>Vinkelsliper,1717733688139055107,11079,2443,Bygg og verktøy,sliper vinkelslipemaskin,Vinkelsliper,11079,sliper vinkelslipemaskin,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy,Elektroverktøy"
Vin- og barutstyr,Vinkjøler,category,/2886/2886557/original.76x75!m.png,37 produkter,Vinkjøler,Vinkjøler,/kategorier/vinkjoler,products,Hjem og husholdning>Kjøkken>Vin- og barutstyr>Vinkjøler,1717733688140103680,11984,1271,Hjem og husholdning,"bøtte,champagnebøtte,champagnekjøler,flaskekjøler,kjøler,sjampanje,vinkjøler",Vinkjøler,11984,"champagnekjøler,sjampanje,kjøler,flaskekjøler,champagnebøtte,vinkjøler,bøtte",false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Kjøkken,Vin- og barutstyr"
Hvitevarer,Vinskap,category,/1685/1685327/original.70x75!m.jpg,165 produkter,Vinskap,Vinskap,/kategorier/vinskap,products,Hvitevarer>Vinskap,1717733688140103681,11486,2418,Hvitevarer,"cooler,vinlagringsskap,wine",Vinskap,11486,"vinlagringsskap,wine,cooler",false,2021-11-29T04:01:40.783Z,Hvitevarer
Vin- og barutstyr,Vinstativ,category,/2887/2887367/original.76x75!m.jpg,29 produkter,Vinstativ,Vinstativ,/kategorier/vinstativ,products,Hjem og husholdning>Kjøkken>Vin- og barutstyr>Vinstativ,1717733688141152256,11988,1239,Hjem og husholdning,"flaskeholder,flaskestativ,vinholder",Vinstativ,11988,"flaskeholder,flaskestativ,vinholder",false,2021-11-29T04:01:40.783Z,"Hjem og husholdning,Kjøkken,Vin- og barutstyr"
Dekk,Vinterdekk,category,/3019/3019131/original.44x75!m.jpg,226 produkter,Vinterdekk,Vinterdekk,/kategorier/vinterdekk,filter,Bilutstyr>Dekk>Vinterdekk,1717733688141152257,12633,5823,Bilutstyr,,Vinterdekk,12633,,false,2021-11-29T04:01:40.783Z,"Bilutstyr,Dekk"
