product_id,category_id,main
520373,11083,1
342607,11467,1
349161,11428,1
378173,12281,1
454547,13146,1
461972,11597,1
465053,13058,1
467588,11414,1
480878,10052,1
505227,12281,1
505228,12281,1
505229,12281,1
331251,11932,1
405802,13287,1
457901,11422,1
461970,11597,1
495766,11469,1
497987,11205,1
502810,12484,1
337947,12016,1
410556,12332,1
461782,11412,1
474493,13351,1
478034,10052,1
495763,11469,1
505987,11633,1
356129,12279,1
377931,12279,1
378082,12279,1
386039,11083,1
438304,11423,1
461079,11083,1
474464,13351,1
491063,11285,1
509253,10052,1
377913,12279,1
383094,11083,1
390683,11524,1
461072,11083,1
472390,11707,1
489703,11426,1
495466,11470,1
497221,10066,1
500291,11422,1
507435,11537,1
518134,12005,1
266512,11707,1
317232,11285,1
338867,10051,1
457417,11422,1
463709,11285,1
463970,11470,1
474736,12011,1
495097,11470,1
495476,11470,1
498949,11514,1
500292,11422,1
269931,10101,1
382973,11083,1
451028,11514,1
463758,11083,1
492154,12810,1
521081,11469,1
329876,11663,1
382974,11083,1
424030,11422,1
430871,11470,1
495432,11470,1
495433,11470,1
495467,11470,1
520388,11083,1
520389,11083,1
467940,11469,1
475171,13058,1
512819,11422,1
518434,11422,1
518501,11083,1
520390,11083,1
269793,10101,1
456589,12007,1
463776,11083,1
486621,11422,1
489688,12016,1
502613,12810,1
506262,11285,1
269723,10101,1
269724,10101,1
269725,10101,1
294313,11466,1
344882,12006,1
438400,11422,1
448175,11966,1
452924,11524,1
505935,11633,1
507248,11427,1
518883,11422,1
521235,13359,1
311408,11538,1
433893,12888,1
445316,11535,1
452926,11524,1
483483,12195,1
502577,11538,1
379839,12308,1
457275,12028,1
385762,11528,1
469433,12332,1
469438,13287,1
500242,12810,1
504724,12308,1
521111,11085,1
360076,13287,1
445422,11535,1
455601,11422,1
469440,11996,1
501358,11524,1
502370,11422,1
502371,11422,1
502375,11422,1
502377,11422,1
343946,12018,1
408768,12322,1
445421,11535,1
449188,11467,1
474490,11414,1
491633,11083,1
246156,10072,1
398923,11285,1
407307,12291,1
444492,11713,1
445450,11537,1
446667,11470,1
464058,13274,1
474488,11414,1
474491,11597,1
509185,12332,1
512633,12332,1
521186,11713,1
258424,11470,1
300170,11470,1
345323,12012,1
392363,11642,1
431952,11470,1
444465,11713,1
463674,11285,1
463677,11285,1
464230,11083,1
492137,12810,1
517561,11285,1
518516,11285,1
317033,11470,1
341467,11595,1
366360,12291,1
402567,11427,1
407308,12291,1
412633,11536,1
449160,11642,1
463763,11083,1
491316,11469,1
506185,12687,1
513519,10101,1
521161,11083,1
407291,12279,1
449153,11642,1
449166,11470,1
451985,11524,1
464345,11285,1
491319,11470,1
491417,11083,1
492141,12810,1
505298,10101,1
350833,11414,1
377866,12279,1
404963,11414,1
419308,11083,1
463756,11083,1
491315,11469,1
491382,11470,1
494704,11470,1
500241,12011,1
501514,11532,1
520962,11470,1
288635,11414,1
366367,12279,1
383689,12452,1
392155,12016,1
410732,11414,1
445397,11535,1
293397,13349,1
411771,11633,1
419204,12279,1
494174,11470,1
285666,11597,1
288641,11414,1
377883,12283,1
377884,12283,1
377886,12283,1
377888,12283,1
377890,12283,1
377911,12279,1
377912,12279,1
404971,11414,1
410735,11414,1
366301,12279,1
366355,12283,1
377882,12283,1
377904,12279,1
377908,12279,1
377910,12279,1
393972,12279,1
405013,11597,1
349141,12340,1
377901,12279,1
418078,11470,1
446458,11470,1
467982,11469,1
303985,11470,1
314170,11546,1
326984,11422,1
390646,11470,1
446464,11470,1
446660,11469,1
446700,11470,1
469402,12796,1
473439,12016,1
493303,12195,1
493305,12195,1
495490,11470,1
501289,12007,1
211348,11510,1
294660,12322,1
385996,11083,1
399055,11469,1
446567,11469,1
446580,11469,1
508955,12332,1
226271,11946,1
312296,10101,1
344496,11412,1
349188,12340,1
451957,12007,1
473440,12016,1
473453,12016,1
490580,11503,1
495509,11470,1
495514,11470,1
422399,12810,1
448158,11966,1
449168,11642,1
463318,13273,1
474671,13359,1
521080,12810,1
521230,13359,1
306039,11537,1
392376,11642,1
395686,11537,1
398949,12699,1
437900,12018,1
449170,11470,1
449172,11470,1
453722,12484,1
453780,12484,1
454549,13146,1
455625,13150,1
521209,13359,1
307780,11893,1
310704,11597,1
324897,11524,1
332921,11537,1
391384,11893,1
398126,11285,1
465768,10101,1
475808,11470,1
506214,12699,1
521251,13359,1
306105,11470,1
341138,11422,1
341801,12007,1
419310,11505,1
433792,2,1
494009,11470,1
269557,10101,1
291014,11467,1
327607,11414,1
380239,10101,1
489032,12018,1
494984,11470,1
363961,11536,1
382969,11083,1
383100,11083,1
386644,11642,1
412300,11470,1
422464,11470,1
446451,11470,1
349177,12340,1
350754,11414,1
398100,11285,1
482433,11414,1
483412,11537,1
506106,11083,1
518189,11083,1
521047,13058,1
250249,11418,1
280464,11414,1
289684,11469,1
294216,11412,1
349140,12340,1
385423,11469,1
385424,11469,1
392476,11642,1
410728,11414,1
450976,11418,1
495762,11470,1
261906,12016,1
283027,11470,1
399128,12524,1
454530,13146,1
495134,11470,1
513286,11642,1
513287,11418,1
390893,13161,1
454521,13146,1
489991,11470,1
491287,11503,1
512462,13166,1
521146,11470,1
239145,11524,1
333222,11938,1
334498,11470,1
361944,11663,1
495203,11470,1
495204,11470,1
495211,11470,1
505534,13359,1
506386,11663,1
511853,13161,1
512260,13166,1
311174,12007,1
333213,11938,1
364628,11414,1
384789,11083,1
410768,11412,1
446701,11470,1
506773,11427,1
514271,13695,1
521253,13359,1
247956,11537,1
304270,11427,1
327608,12332,1
410746,11414,1
422820,12332,1
452055,11418,1
501507,11535,1
501509,11535,1
502913,12015,1
256263,11535,1
256264,11535,1
289681,11469,1
338019,11524,1
379705,12308,1
410744,11414,1
422465,11470,1
449906,11893,1
121633,11663,1
240443,11470,1
269683,10101,1
294332,10101,1
455222,13150,1
477145,11546,1
504885,13359,1
283022,11470,1
294317,10101,1
