id,product_id,manufacturer_id,cat_id,root_cat_id,date,hits,clicks,last_modified
27365530,211757,722,11573,101,2021-02-01,4,1,2021-02-02 05:24:10.164973
27329474,211757,722,11573,101,2021-01-31,3,0,2021-02-01 05:26:58.066735
27289680,211757,722,11573,101,2021-01-30,5,2,2021-01-31 05:14:59.283258
27267606,211757,722,11573,101,2021-01-29,1,3,2021-01-30 05:41:41.260549
27231891,211757,722,11573,101,2021-01-28,1,0,2021-01-29 05:46:57.052694
27187387,211757,722,11573,101,2021-01-27,2,2,2021-01-28 05:30:26.305462
27146391,211757,722,11573,101,2021-01-26,3,2,2021-01-27 05:25:16.745502
27101465,211757,722,11573,101,2021-01-25,9,5,2021-01-26 05:12:17.035070
27072893,211757,722,11573,101,2021-01-24,2,1,2021-01-25 05:33:45.663196
26996489,211757,722,11573,101,2021-01-22,3,1,2021-01-23 05:19:17.573781
26955849,211757,722,11573,101,2021-01-21,5,1,2021-01-22 05:15:56.212335
26921994,211757,722,11573,101,2021-01-20,3,1,2021-01-21 05:22:49.067544
26839899,211757,722,11573,101,2021-01-18,5,1,2021-01-19 05:21:51.237478
27633312,211757,722,11573,101,2021-01-17,5,1,2021-02-08 18:53:56.002187
26728422,211757,722,11573,101,2021-01-16,2,0,2021-01-17 05:34:55.076502
26687024,211757,722,11573,101,2021-01-15,3,4,2021-01-16 05:23:39.512029
26608802,211757,722,11573,101,2021-01-13,3,0,2021-01-14 05:28:36.203947
26572407,211757,722,11573,101,2021-01-12,2,0,2021-01-13 05:43:46.380253
26531858,211757,722,11573,101,2021-01-11,2,0,2021-01-12 05:48:16.816668
26486754,211757,722,11573,101,2021-01-10,3,5,2021-01-11 08:25:05.916814
26446885,211757,722,11573,101,2021-01-09,3,2,2021-01-10 09:26:01.705461
26405630,211757,722,11573,101,2021-01-08,4,0,2021-01-09 07:47:04.570789
26380201,211757,722,11573,101,2021-01-07,1,1,2021-01-08 20:07:12.790481
