parent,title_no,internal_doc_type,image_url,description,title,title_phonetic,url,tags,path,_version_,internal_doc_id,popularity,root,alias,title_edge_ngram,id,alias_no,adult,last_modified,parents
Utstyr til fisk,Akvariepynt,category,/3265/3265598/i.58x75!m.jpg,82 produkter,Akvariepynt,Akvariepynt,/kategorier/akvariepynt,products,Dyreutstyr>Utstyr til fisk>Akvariepynt,1711025782645587968,13722,1032,Dyreutstyr,,Akvariepynt,13722,,false,2021-09-16T03:02:23.579Z,"Dyreutstyr,Utstyr til fisk"
Utstyr til fisk,Akvarium,category,/3264/3264724/i.130x75!m.jpg,47 produkter,Akvarium,Akvarium,/kategorier/akvarium,products,Dyreutstyr>Utstyr til fisk>Akvarium,1711025782646636544,13720,1124,Dyreutstyr,,Akvarium,13720,,false,2021-09-16T03:02:23.579Z,"Dyreutstyr,Utstyr til fisk"
Sikkerhet og overvåkning,Alarmsystem,category,/3214/3214129/ring-alarm-security-sikkerhetssett-i-5-deler.146x75!m.jpg,892 produkter,Alarmsystem,Alarmsystem,/kategorier/alarmsystem,filter,Bygg og verktøy>Elektro>Smarthus>Sikkerhet og overvåkning>Alarmsystem,1711025782646636545,13494,9706,Bygg og verktøy,,Alarmsystem,13494,,false,2021-09-16T03:02:23.579Z,"Bygg og verktøy,Elektro,Smarthus,Sikkerhet og overvåkning"
Sportsbeskyttelse,Albuebeskytter,category,/3188/3188943/i.78x75!m.jpg,112 produkter,Albuebeskytter,Albuebeskytter,/kategorier/albuebeskytter,products,Sport og friluftsliv>Sportsutstyr>Sportsbeskyttelse>Albuebeskytter,1711025782646636546,13371,1048,Sport og friluftsliv,,Albuebeskytter,13371,,false,2021-09-16T03:02:23.579Z,"Sport og friluftsliv,Sportsutstyr,Sportsbeskyttelse"
Måleapparater,Alkometer,category,/1720/1720928/original.28x75!m.jpg,30 produkter,Alkometer,Alkometer,/kategorier/alkometer,products,Skjønnhet og helse>Apotek>Måleapparater>Alkometer,1711025782647685120,11691,1515,Skjønnhet og helse,,Alkometer,11691,,false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Apotek,Måleapparater"
Apotek,Allergi,category,/2998/2998374/original.150x75!m.jpg,8 produkter,Allergi,Allergi,/kategorier/allergi,categories,Skjønnhet og helse>Apotek>Allergi,1711025782647685121,12491,1080,Skjønnhet og helse,pollenallergi,Allergi,12491,pollenallergi,false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Apotek"
Allergi,Allergitabletter,category,/2998/2998379/original.150x75!m.jpg,8 produkter,Allergitabletter,Allergitabletter,/kategorier/allergitabletter,products,Skjønnhet og helse>Apotek>Allergi>Allergitabletter,1711025782648733696,12492,1080,Skjønnhet og helse,allergimedisin,Allergitabletter,12492,allergimedisin,false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Apotek,Allergi"
Hansker og votter,Alpinhansker,category,/3071/3071663/original.50x75!m.jpg,742 produkter,Alpinhansker,Alpinhansker,/kategorier/alpinhansker,filter,Klær og sko>Accessories og tilbehør>Hansker og votter>Alpinhansker,1711025782648733697,12812,1336,Klær og sko,,Alpinhansker,12812,,false,2021-09-16T03:02:23.579Z,"Klær og sko,Accessories og tilbehør,Hansker og votter"
Hjelm,Alpinhjelm,category,/3088/3088993/sweet-protection-trooper-ii-mips-helmet-olive-drab.480x498m.72x75!m.jpg,591 produkter,Alpinhjelm,Alpinhjelm,/kategorier/alpinhjelm,filter,Sport og friluftsliv>Sportsutstyr>Hjelm>Alpinhjelm,1711025782648733698,12891,1624,Sport og friluftsliv,"skihjelm,slalomhjelm,toppturhjelm",Alpinhjelm,12891,"slalomhjelm,skihjelm,toppturhjelm",false,2021-09-16T03:02:23.579Z,"Sport og friluftsliv,Sportsutstyr,Hjelm"
Ski,Alpinski,category,/3180/3180617/WEB_Image%20a120370000-%20-467539234.14x75!m.jpg,206 produkter,Alpinski,Alpinski,/kategorier/alpinski,products,Sport og friluftsliv>Vintersport>Ski>Alpinski,1711025782649782272,11873,1256,Sport og friluftsliv,"allmountain,carvingski,frikjøringski,slalomski,slalåmski,telemarkski,twintip",Alpinski,11873,"frikjøringski,carvingski,telemarkski,twintip,allmountain,slalomski,slalåmski",false,2021-09-16T03:02:23.579Z,"Sport og friluftsliv,Vintersport,Ski"
