id,uuid,event,value,created
375076809,1622937923936,product_view,461884,2021-07-12 20:10:25.000000
375076810,1619009055961,product_view,435159,2021-07-12 20:10:25.000000
375076811,1626113425482,referrer,https://www.google.com/,2021-07-12 20:10:25.000000
375076812,1626113425482,product_view,473262,2021-07-12 20:10:25.000000
375076813,1564939422223,referrer,https://www.google.com/,2021-07-12 20:10:25.000000
375076814,1626113425674,referrer,https://www.google.com,2021-07-12 20:10:25.000000
375076815,1564939422223,product_view,501944,2021-07-12 20:10:25.000000
375076816,1626113425674,product_view,262917,2021-07-12 20:10:25.000000
375076817,1626034157001,product_view,465666,2021-07-12 20:10:25.000000
375076818,1626113425794,referrer,direct,2021-07-12 20:10:26.000000
375076819,1626113425805,referrer,direct,2021-07-12 20:10:26.000000
375076820,1619488688373,referrer,https://prisguiden.no/produkt/xiaomi-mi-m365-pro-378838,2021-07-12 20:10:26.000000
375076821,1619488688373,product_view,398326,2021-07-12 20:10:26.000000
375076822,1626112978172,product_view,322983,2021-07-12 20:10:26.000000
375076823,1619727372892,goto,Unknown product-id,2021-07-12 20:10:26.000000
375076824,1593701783278,goto,461718,2021-07-12 20:10:27.000000
375076825,1625692262555,goto,405117,2021-07-12 20:10:27.000000
375076826,1622937923936,goto,461884,2021-07-12 20:10:27.000000
375076827,1608681623067,product_view,406734,2021-07-12 20:10:27.000000
375076828,1606814948072,product_view,294856,2021-07-12 20:10:28.000000
375076829,1626113428345,referrer,Adwords,2021-07-12 20:10:28.000000
375076830,1626113428345,product_view,342113,2021-07-12 20:10:28.000000
375076831,1567705828329,goto,478872,2021-07-12 20:10:28.000000
375076832,1625686037646,product_view,378710,2021-07-12 20:10:28.000000
375076833,1626113429122,referrer,direct,2021-07-12 20:10:29.000000
375076834,1626113428967,referrer,https://www.google.no,2021-07-12 20:10:29.000000
375076835,1620322113615,referrer,Adwords,2021-07-12 20:10:29.000000
375076836,1579842967152,product_view,120769,2021-07-12 20:10:29.000000
375076837,1626113429983,referrer,https://www.google.no,2021-07-12 20:10:30.000000
375076838,1626113429983,product_view,363476,2021-07-12 20:10:30.000000
375076839,1604271942016,referrer,https://www.google.it,2021-07-12 20:10:30.000000
375076840,1604271942016,product_view,435536,2021-07-12 20:10:30.000000
375076841,1600169379075,referrer,Adwords,2021-07-12 20:10:30.000000
375076842,1616946369868,goto,Unknown product-id,2021-07-12 20:10:30.000000
375076843,1626112008702,product_view,454079,2021-07-12 20:10:30.000000
375076844,1600169379075,product_view,442208,2021-07-12 20:10:30.000000
375076845,1626113431043,referrer,https://www.google.no,2021-07-12 20:10:31.000000
375076846,1623605626194,product_view,498980,2021-07-12 20:10:31.000000
375076847,1619488688373,product_view,460028,2021-07-12 20:10:31.000000
375076848,1621980762807,product_view,402139,2021-07-12 20:10:31.000000
375076849,1626099902740,referrer,https://www.google.no,2021-07-12 20:10:32.000000
375076850,1626113431845,referrer,direct,2021-07-12 20:10:32.000000
375076851,1626099902740,product_view,497485,2021-07-12 20:10:32.000000
375076852,1625599973246,goto,505255,2021-07-12 20:10:32.000000
375076853,1626113424228,product_view,418231,2021-07-12 20:10:32.000000
375076854,1622729245060,product_view,414928,2021-07-12 20:10:32.000000
375076855,1626113431845,product_view,328187,2021-07-12 20:10:32.000000
375076856,1612619555654,product_view,285837,2021-07-12 20:10:32.000000
375076857,1614593239217,product_view,500404,2021-07-12 20:10:33.000000
375076858,1626112685595,product_view,308608,2021-07-12 20:10:33.000000
375076859,1626113433246,referrer,https://www.google.no,2021-07-12 20:10:33.000000
375076860,1608681623067,goto,406734,2021-07-12 20:10:33.000000
375076861,1626113402260,product_view,265667,2021-07-12 20:10:33.000000
375076862,1626113433878,referrer,direct,2021-07-12 20:10:33.000000
375076863,1626113433993,referrer,https://www.google.no,2021-07-12 20:10:34.000000
375076864,1621448801967,referrer,https://www.google.com/,2021-07-12 20:10:34.000000
375076865,1626113139122,product_view,274744,2021-07-12 20:10:34.000000
375076866,1619488688373,product_view,443871,2021-07-12 20:10:34.000000
375076867,0,product_view,433933,2021-07-12 20:10:34.000000
375076868,1621448801967,product_view,256958,2021-07-12 20:10:35.000000
375076869,1626113434969,referrer,https://www.google.com,2021-07-12 20:10:35.000000
375076870,1626113249352,product_view,250683,2021-07-12 20:10:35.000000
375076871,1572399191370,referrer,https://www.google.com/,2021-07-12 20:10:35.000000
375076872,1626113434969,product_view,308323,2021-07-12 20:10:35.000000
375076873,1572399191370,product_view,206612,2021-07-12 20:10:35.000000
375076874,1617824807901,product_view,389238,2021-07-12 20:10:35.000000
375076875,1605900265681,referrer,https://prisguiden.no/sok?q=scott%20hjelm,2021-07-12 20:10:36.000000
375076876,1626099902740,goto,Unknown product-id,2021-07-12 20:10:36.000000
375076877,1626012176350,product_view,331253,2021-07-12 20:10:36.000000
