date,cat_id,product_id,root_cat_id,hits,clicks,popularity,cat_name
2019-05-13,11573,424805,256,9,0,2394,Nettverkskabler
2019-05-14,11091,241400,101,2,0,5732,3D-printer
2019-05-14,11573,424805,256,9,0,2394,Nettverkskabler
2019-05-15,11091,241400,101,1,0,5732,3D-printer
2019-05-15,11573,424805,256,6,1,2394,Nettverkskabler
2019-05-16,11091,241400,101,1,0,5732,3D-printer
2019-05-16,11573,424805,256,11,2,2394,Nettverkskabler
2019-05-17,11091,241400,101,3,0,5732,3D-printer
2019-05-17,11573,424805,256,6,0,2394,Nettverkskabler
2019-05-18,11091,241400,101,2,0,5732,3D-printer
2019-05-18,11573,424805,256,4,0,2394,Nettverkskabler
2019-05-19,11091,241400,101,2,1,5732,3D-printer
2019-05-19,11573,424805,256,6,2,2394,Nettverkskabler
2019-05-20,11091,241400,101,3,1,5732,3D-printer
2019-05-20,11573,424805,256,7,0,2394,Nettverkskabler
2019-05-21,11091,241400,101,1,0,5732,3D-printer
2019-05-21,11573,424805,202,9,0,2394,Nettverkskabler
2019-05-22,11091,241400,101,1,0,5732,3D-printer
2019-05-22,11573,424805,202,9,1,2394,Nettverkskabler
2019-05-23,11091,241400,101,1,0,5732,3D-printer
2019-05-23,11573,424805,202,10,0,2394,Nettverkskabler
2019-05-24,11573,213048,101,5,0,1197,Nettverkskabler
2019-05-25,11091,241400,101,1,0,5732,3D-printer
2019-05-25,11573,424805,202,4,1,2394,Nettverkskabler
2019-05-26,11091,241400,101,1,0,5732,3D-printer
2019-05-26,11573,424805,202,6,4,2394,Nettverkskabler
2019-05-27,11091,241400,101,3,0,5732,3D-printer
2019-05-27,11573,424805,202,6,0,2394,Nettverkskabler
2019-05-28,11091,241400,101,1,0,5732,3D-printer
2019-05-28,11573,424805,202,17,1,2394,Nettverkskabler
2019-05-29,11091,241400,101,2,0,5732,3D-printer
2019-05-29,11573,424805,202,7,0,2394,Nettverkskabler
2019-05-30,11573,424805,202,9,3,2394,Nettverkskabler
2019-05-31,11573,211757,101,2,0,1197,Nettverkskabler
2019-06-01,11091,241400,101,1,0,5732,3D-printer
2019-06-01,11573,424805,202,8,0,2394,Nettverkskabler
2019-06-02,11573,424805,202,13,5,2394,Nettverkskabler
2019-06-03,11573,424805,202,11,2,2394,Nettverkskabler
2019-06-04,11091,241400,101,2,0,5732,3D-printer
2019-06-04,11573,424805,202,4,0,2394,Nettverkskabler
2019-06-05,11573,424805,202,6,0,2394,Nettverkskabler
2019-06-06,11091,241400,101,1,0,5732,3D-printer
2019-06-06,11573,424805,202,10,0,2394,Nettverkskabler
2019-06-07,11573,424805,202,13,0,2394,Nettverkskabler
2019-06-08,11091,241400,101,4,0,5732,3D-printer
2019-06-08,11573,424805,202,3,0,2394,Nettverkskabler
2019-06-09,11091,241400,101,1,0,5732,3D-printer
2019-06-09,11573,424805,202,12,2,2394,Nettverkskabler
2019-06-10,11573,424805,202,4,0,2394,Nettverkskabler
2019-06-11,11091,241400,101,1,0,5732,3D-printer
2019-06-11,11573,424805,202,6,2,2394,Nettverkskabler
2019-06-12,11573,424805,202,8,1,2394,Nettverkskabler
2019-06-13,11091,241400,101,1,0,5732,3D-printer
2019-06-13,11573,424805,202,8,0,2394,Nettverkskabler
2019-06-14,11091,241400,101,1,0,5732,3D-printer
2019-06-14,11573,424805,202,7,0,2394,Nettverkskabler
2019-06-15,11091,241400,101,2,0,5732,3D-printer
2019-06-15,11573,424805,202,5,0,2394,Nettverkskabler
2019-06-16,11573,424805,202,4,0,2394,Nettverkskabler
2019-06-17,11091,241400,101,1,0,5732,3D-printer
2019-06-17,11573,424805,202,5,0,2394,Nettverkskabler
2019-06-18,11091,241400,101,2,0,5732,3D-printer
2019-06-18,11573,424805,202,8,1,2394,Nettverkskabler
2019-06-19,11091,241400,101,1,0,5732,3D-printer
2019-06-19,11573,424805,202,14,5,2394,Nettverkskabler
2019-06-20,11573,424805,202,3,1,2394,Nettverkskabler
2019-06-21,11091,241400,101,1,0,5732,3D-printer
2019-06-21,11573,424805,202,8,1,2394,Nettverkskabler
2019-06-22,11573,211757,101,2,0,1197,Nettverkskabler
2019-06-23,11091,241400,101,2,1,5732,3D-printer
2019-06-23,11573,424805,202,2,0,2394,Nettverkskabler
2019-06-24,11091,241400,101,1,0,5732,3D-printer
2019-06-24,11573,424805,202,6,2,2394,Nettverkskabler
2019-06-25,11573,424805,202,4,0,2394,Nettverkskabler
2019-06-26,11573,424805,202,15,1,2394,Nettverkskabler
2019-06-27,11091,241400,101,1,0,5732,3D-printer
2019-06-27,11573,424805,202,6,0,2394,Nettverkskabler
2019-06-28,11091,241400,101,1,0,5732,3D-printer
